Stock Name,Stock Id,Imputation Method,Percentage MSE
VRTX,470,2.0,0.00013208
VFC,471,2.0,0.00038273
VTRS,472,4.0,0.0001365
VICI,473,2.0,0.00011928
V,474,2.0,0.00038219
VNO,475,2.0,8.01e-05
VMC,476,2.0,7.764e-05
WAB,477,2.0,0.00014555
WBA,478,2.0,7.73e-05
WMT,479,2.0,3.43e-05
WBD,480,2.0,0.00028601
WM,481,2.0,2.559e-05
WAT,482,2.0,4.683e-05
WEC,483,2.0,4.025e-05
WFC,484,2.0,9.582e-05
WELL,485,2.0,8.369e-05
WST,486,2.0,9.369e-05
WDC,487,2.0,0.00018239
WRK,488,2.0,0.00014128
WY,489,2.0,0.00012056
WHR,490,2.0,9.556e-05
WMB,491,2.0,0.00017178
WTW,492,2.0,4.451e-05
GWW,493,2.0,5.204e-05
WYNN,494,2.0,0.0001668
XEL,495,2.0,4.059e-05
XYL,496,2.0,7.293e-05
YUM,497,2.0,5.935e-05
ZBRA,498,2.0,9.509e-05
ZBH,499,2.0,6.467e-05
ZION,500,2.0,0.0001093
ZTS,501,2.0,5.17e-05
