Stock Name,Stock Id,Imputation Method,Days Before,Train Percentage MSE,Test Percentage MSE
LIN,287,2.0,15.0,3.54e-05,0.00047172
LYV,288,2.0,7.0,6.745e-05,0.04373707
LKQ,289,2.0,15.0,9.722e-05,0.02443563
LMT,290,2.0,13.0,2.353e-05,0.00074287
L,291,2.0,7.0,2.81e-05,0.00322263
LOW,292,2.0,8.0,3.695e-05,0.03520733
LUMN,293,2.0,8.0,6.493e-05,0.01424515
LYB,294,2.0,7.0,5.729e-05,0.00047213
MTB,295,2.0,9.0,3.517e-05,0.00048967
MRO,296,2.0,12.0,0.00010768,0.00132733
MPC,297,2.0,8.0,0.00014441,0.00129023
MKTX,298,2.0,8.0,5.008e-05,0.0011645
MAR,299,2.0,8.0,4.588e-05,0.00300219
MMC,300,2.0,15.0,1.715e-05,0.04716469
MLM,301,2.0,15.0,4.998e-05,0.04887639
MAS,302,2.0,10.0,5.337e-05,0.00273701
MA,303,1.0,8.0,0.00232729,0.00045736
MTCH,304,2.0,13.0,0.00012771,0.00149017
MKC,305,2.0,13.0,2.184e-05,0.00242396
MCD,306,2.0,15.0,1.818e-05,0.01202336
MCK,307,2.0,14.0,4.217e-05,0.02976228
MDT,308,2.0,7.0,2.33e-05,0.00141902
MRK,309,2.0,13.0,2.105e-05,0.00081626
META,310,2.0,13.0,7.211e-05,0.00959763
MET,311,2.0,15.0,4.963e-05,0.01292881
MTD,312,2.0,13.0,3.143e-05,0.06976947
MGM,313,2.0,11.0,8.834e-05,0.01140972
MCHP,314,2.0,12.0,4.966e-05,0.0284722
MU,315,2.0,15.0,0.00011333,0.04515216
MSFT,316,2.0,10.0,3.331e-05,0.03518427
MAA,317,2.0,11.0,2.497e-05,0.0364341
MRNA,318,2.0,14.0,0.00031648,0.00200999
MHK,319,2.0,8.0,7.591e-05,0.00065683
MOH,320,2.0,8.0,0.00010032,0.09932918
TAP,321,2.0,4.0,3.847e-05,0.00039845
MDLZ,322,2.0,7.0,3.653e-05,0.00339026
MPWR,323,2.0,11.0,6.092e-05,0.11333908
MNST,324,2.0,7.0,0.00034506,0.00033949
MCO,325,2.0,7.0,4.39e-05,0.0155248
MS,326,2.0,15.0,5.422e-05,0.12209127
MOS,327,2.0,15.0,9.034e-05,0.00152461
MSI,328,2.0,8.0,3.178e-05,0.03103481
MSCI,329,2.0,14.0,4.68e-05,0.05785684
NDAQ,330,2.0,11.0,3.039e-05,0.04215511
NTAP,331,2.0,15.0,6.5e-05,0.00146915
NFLX,332,2.0,3.0,0.00101421,0.00168196
NWL,333,2.0,9.0,6.959e-05,0.00055343
NEM,334,2.0,6.0,7.249e-05,0.00149807
NWSA,335,2.0,14.0,4.795e-05,0.03266699
NWS,336,2.0,14.0,4.636e-05,0.0302087
NEE,337,2.0,15.0,2.223e-05,0.0150221
NKE,338,2.0,3.0,9.905e-05,0.01058063
NI,339,1.0,2.0,0.00018118,0.00017921
NDSN,340,2.0,7.0,4.442e-05,0.01080939
NSC,341,2.0,14.0,3.835e-05,0.02249452
NTRS,342,2.0,7.0,3.387e-05,0.0022369
NOC,343,2.0,12.0,2.688e-05,0.01493577
NCLH,344,2.0,7.0,0.00017115,0.00208894
NRG,345,2.0,12.0,6.854e-05,0.0006837
NUE,346,2.0,13.0,4.094e-05,0.13156573
NVDA,347,2.0,12.0,8.244e-05,0.018154
NVR,348,2.0,15.0,4.578e-05,0.02041289
NXPI,349,2.0,13.0,8.259e-05,0.0757387
ORLY,350,2.0,11.0,3.681e-05,0.0589421
OXY,351,2.0,10.0,6.851e-05,0.00805374
ODFL,352,2.0,7.0,4.838e-05,0.03828475
OMC,353,2.0,15.0,2.717e-05,0.00036554
ON,354,2.0,15.0,9.347e-05,0.21910429
OKE,355,2.0,14.0,8.458e-05,0.00045517
ORCL,356,2.0,12.0,3.22e-05,0.05652566
OGN,357,2.0,13.0,6.416e-05,0.03161632
OTIS,358,2.0,15.0,4.245e-05,0.00095071
PCAR,359,2.0,15.0,3.207e-05,0.0019062
PKG,360,2.0,14.0,3.752e-05,0.01115834
PARA,361,2.0,7.0,6.023e-05,0.00252814
PH,362,2.0,15.0,4.557e-05,0.0651958
PAYX,363,2.0,15.0,2.492e-05,0.04653263
PAYC,364,2.0,13.0,0.00012147,0.00280559
PYPL,365,2.0,12.0,6.062e-05,0.00198973
PNR,366,2.0,9.0,5.665e-05,0.00034857
PEP,367,2.0,14.0,1.585e-05,0.01087057
PKI,368,2.0,15.0,3.276e-05,0.05656664
PFE,369,2.0,15.0,1.951e-05,0.00784229
PCG,370,2.0,4.0,0.00020911,0.0010462
PM,371,2.0,15.0,2.655e-05,0.00024062
PSX,372,2.0,12.0,5.3e-05,0.00055649
PNW,373,2.0,13.0,2.129e-05,0.00025249
PXD,374,2.0,12.0,8.007e-05,0.00346255
PNC,375,2.0,8.0,3.383e-05,0.01830202
POOL,376,2.0,7.0,3.282e-05,0.05160572
PPG,377,2.0,11.0,2.966e-05,0.00037643
PPL,378,2.0,15.0,2.402e-05,0.00018755
PFG,379,2.0,15.0,4.916e-05,0.00286457
PG,380,2.0,11.0,1.658e-05,0.0033437
PGR,381,2.0,9.0,2.479e-05,0.0154247
